park_name,lat,long,average_visits
Blue Ridge Parkway,36.51861,-80.93578,15049331
Golden Gate National Recreation Area,37.78333,-122.46652,14777320
Great Smoky Mountains National Park,35.72715,-83.16773,9951197
Gateway National Recreation Area - Breezy Point,40.5565,-73.92607,7645179
George Washington Memorial Parkway,38.91111,-77.10217,7572115
Lake Mead National Recreation Area,36.4,-113.69972,7067771
Lincoln Memorial,38.8893,-77.04992,6563874
Natchez Trace Trail,34.66772,-88.08826,5878096
Grand Canyon National Park,36.0575,-112.13745,4894769
Vietnam Veterans Memorial,38.8911,-77.04756,4619682
Delaware Water Gap National Recreation Area,41.08232,-75.01726,4528221
Cape Cod National Seashore,42.07389,-70.20513,4475603
Chesapeake and Ohio Canal National Historical Park,38.89972,-77.05744,4410282
Wood Buffalo National Park,59.39083,-112.98592,4311704
Gulf Islands National Seashore,30.36444,-86.96735,4294029
San Francisco Maritime National Historical Park,37.80639,-122.42332,4213719
Independence National Historical Park,39.94778,-75.14787,4033363
Castle Clinton National Monument,40.7036,-74.01674,4023824
Yosemite National Park,37.6379,-119.69432,3996500
Statue Of Liberty National Monument,40.68968,-74.04477,3730235
Yellowstone National Park,44.79573,-110.61342,3601693
Korean War Veterans Memorial,38.88778,-77.047,3547994
Rocky Mountain National Park,40.414,-105.68962,3447870
Colonial National Historical Park,37.21926,-76.5084,3333932
Zion National Park,37.22299,-112.68142,3233651
Martin Luther King Jr National Memorial,38.885926,-77.045124,3207598
Olympic National Park,47.799,-123.52162,3137907
Chattahoochee River National Recreation Area,33.98722,-84.32454,2983479
Franklin Delano Roosevelt Memorial,38.88389,-77.0443,2946022
Grand Teton National Park,43.7403,-110.78822,2824532
Thomas Jefferson Memorial,38.88139,-77.03647,2676724
Acadia National Park,44.454,-68.04902,2605536
Glen Canyon National Recreation Area,36.9936,-111.48672,2503440
Boston National Historical Park,42.36,-71.05617,2462813
Cuyahoga Valley National Park,41.20906,-81.55677,2359884
Point Reyes National Seashore,38.06,-122.88502,2349987
Glacier National Park,48.692,-113.77572,2320217
Cape Hatteras National Seashore,35.30361,-75.51123,2237294
Mount Rushmore National Memorial,43.87895,-103.45952,2225906
Rock Creek Park,38.9575,-77.04498,2190354
Assateague Island National Seashore,38.08332,-75.20818,2162557
Jefferson National Expansion Memorial,38.6246,-90.18483,2006982
Kennesaw Mountain National Battlefield Park,33.98306,-84.5779,1915662
Indiana Dunes National Lakeshore,41.64806,-87.10791,1839036
Valley Forge National Historical Park,40.09693,-75.43869,1777446
Joshua Tree National Park,33.843,-115.82762,1728215
WW II Valor in the Pacific National Monument Atka Island,52.13806,-174.44522,1625110
Hawaii Volcanoes National Park,19.39999,-155.29962,1565752
Bryce Canyon National Park,37.5548,-112.19632,1565676
Fort Point National Historic Site,37.81056,-122.47692,1560779
Amistad National Recreation Area,29.43667,-101.04972,1472473
Sleeping Bear Dunes National Lakeshore,44.91306,-86.02013,1396749
Buffalo National River,36.17806,-92.42606,1393915
Hot Springs National Park,34.52684,-92.95843,1380780
Lake Roosevelt National Recreation Area,47.95611,-118.98032,1351333
Chickasaw National Recreation Area,34.50056,-96.97204,1313787
Ozark National Scenic Riverways,37.1907,-91.27615,1297635
San Juan National Historic Site,18.4675,-66.11012,1270977
John D. Rockefeller Jr. Memorial Parkway,44.10472,-110.69273,1257644
Shenandoah National Park,38.72,-78.30072,1248024
Canaveral National Seashore,28.7675,-80.77679,1246485
Mount Rainier National Park,46.85,-121.74982,1201686
Arches National Park,38.77,-109.56462,1194247
New River Gorge National River,37.96083,-81.08152,1144963
San Antonio Missions National Historical Park,29.36167,-98.48008,1133789
Gettysburg National Military Park,39.81206,-77.24615,1119595
Haleakala National Park,20.71062,-156.21002,1097150
Sequoia National Park,36.36444,-118.72242,1060315
Death Valley National Park,36.524,-117.09872,1041596
Minute Man National Historical Park,42.45306,-71.29842,1028350
Chickamauga and Chattanooga National Military Park,34.94,-85.25984,997475
Everglades National Park,25.36,-80.79976,989970
Muir Woods National Monument,37.89889,-122.58362,961066
Big Cypress National Preserve,25.85889,-81.0337,945345
Curecanti National Recreation Area,38.45472,-107.32672,943146
President's Park (White House),38.89417,-77.03674,940938
Badlands National Park,43.6504,-102.43392,931199
Klondike Gold Rush National Historical Park,59.45639,-135.31162,901542
